"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"0402LED";1;"purple";;;
2;"JP1,JP2";"SMD_JUMPER_CONNECTED";2;"SMD-JUMPER-CONNECTED";;;
3;"U1";"ESP 8266(ESP12-F)";1;"ESP8266(ESP12-F)";;;
4;"R5,R6,R2,R3,R1,R4";"0603R";6;"10k";;;
5;"K2,K1";"easyC-connector";2;"easyC-SMD";;;
6;"JP3";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
7;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";43;"";;;
8;"C3,C4";"0603C";2;"2.2uF";;;
9;"K6";"MC127-140-002";1;"MIC127-140-002";;;
10;"H1,H3,H2,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
11;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
12;"C1";"1206C";1;"10uF";;;
13;"K4";"HEADER_MALE_14X1";1;"HEADER_MALE_14X1";;;
14;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
15;"R10,R9";"0603R";2;"5.1k";;;
16;"K3";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
17;"R8";"0402R";1;"2k2";;;
18;"U2";"SOT-23-5";1;"SE5218";;;
19;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
20;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
21;"G***";"Logo-Front-SolderedVERTICAL-10mm";1;"LOGO";;;
22;"REF**";"Symbol-Front-WiFi";1;"Symbol-Front-WiFi";;;
23;"C2";"0603C";1;"100nF";;;
24;"K5";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
25;"R7";"0603R";1;"2k49";;;
26;"G***";"Symbol-Front-USB";1;"LOGO";;;
27;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
